clin,unspc_code,manufacturer_part_number,manufacturer,sku,description,unit_of_measure,quantity_in_uom,list_price,contract_unit_price,contract_discount,category
1113,43211500,P5Q58AA#ABA,HP,P5Q58AA#ABA,HP ZBook 150W TB3 Dock,Each,1,$314.00,$204.10,35,Options/Upgrade Mobile Workstation Studio
1114,43211500,P5Q61AA#ABA,HP,P5Q61AA#ABA,HP ZBook 200W TB3 Dock,Each,1,$335.00,$217.75,35,Options/Upgrade Mobile Workstation Studio
1115,43211500,M6V97AV,HP,M6V97AV,WEBCAM Integrated 720p HD,Each,1,$34.00,$22.10,35,Options/Upgrade Mobile Workstation Studio
1116,43211500,A936061,HP,A936061,USB Numeric Keypad,Each,1,$21.00,$13.65,35,Options/Upgrade Mobile Workstation Studio
1117,43211500,M9R83AV,HP,M9R83AV,WEBCAM Integrated 720p HD,Each,1,$21.00,$13.65,35,Options/Upgrade Mobile Workstation Laptop 15
1118,43211500,M9R78AV,HP,M9R78AV,15.6 inch LED FHD UWVA Anti-Glare enabled for Webcam slim (1920x1080),Each,1,$210.00,$136.50,35,Options/Upgrade Mobile Workstation Laptop 15
1119,43211500,M9R72AV,HP,M9R72AV,NVIDIA Quadro M2000M Graphics,Each,1,$378.00,$245.70,35,Options/Upgrade Mobile Workstation Laptop 15
1120,43211500,M9R91AV,HP,M9R91AV,32GB (2x16GB) 2133MHz DDR4,Each,1,$504.00,$327.60,35,Options/Upgrade Mobile Workstation Laptop 15
1121,43211500,M9R93AV,HP,M9R93AV,64GB (4x16GB) 2133MHz DDR4,Each,1,"$1,008.00",$655.20,35,Options/Upgrade Mobile Workstation Laptop 15
1122,43211500,T9T62AV,HP,T9T62AV,512GB SATA-3 Self Encrypted OPAL2 MLC Solid State Drive,Each,1,$419.00,$272.35,35,Options/Upgrade Mobile Workstation Laptop 15
1123,43211500,T0P65AV,HP,T0P65AV,1TB Z Turbo Drive PCIe Solid State Drive,Each,1,$839.00,$545.35,35,Options/Upgrade Mobile Workstation Laptop 15
1124,43211500,P5Q58AA,HP,P5Q58AA,HP ZBook 150W TB3 Dock,Each,1,$314.00,$204.10,35,Options/Upgrade Mobile Workstation Laptop 15
1125,43211500,P5Q61AA#ABA,HP,P5Q61AA#ABA,HP ZBook 200W TB3 Dock,Each,1,$335.00,$217.75,35,Options/Upgrade Mobile Workstation Laptop 15
1126,43211500,M9M10AV,HP,M9M10AV,WEBCAM Integrated 720p HD 17,Each,1,$21.00,$13.65,35,Options/Upgrade Mobile Workstation Laptop 17
1127,43211500,M9M07AV,HP,M9M07AV,17.3 LED HD+ SVA AG f/CAM flat 17,Each,1,$158.00,$102.70,35,Options/Upgrade Mobile Workstation Laptop 17
1128,43211500,M9M16AV,HP,M9M16AV,16GB (2x8GB) 2133 DDR4,Each,1,$231.00,$150.15,35,Options/Upgrade Mobile Workstation Laptop 17
1129,43211500,M9M38AV,HP,M9M38AV,1TB 7200RPM 17,Each,1,$147.00,$95.55,35,Options/Upgrade Mobile Workstation Laptop 17
1130,43211500,M9M28AV,HP,M9M28AV,256GB SATA-3 Self Encrypted OPAL2 Solid State Drive,Each,1,$262.00,$170.30,35,Options/Upgrade Mobile Workstation Laptop 17
1131,43211500,M9M30AV,HP,M9M30AV,512GB Z Turbo Drive PCIe Solid State Drive,Each,1,$524.00,$340.60,35,Options/Upgrade Mobile Workstation Laptop 17
1132,43211500,M9M04AV,HP,M9M04AV,NVIDIA Quadro M5000M Graphics,Each,1,"$1,679.00","$1,091.35",35,Options/Upgrade Mobile Workstation Laptop 17
